ID,CASENO,OFFENSE,CVLEGEND,CVDOW,Block_Location,BLKADDR,City,State,Day,Lat,Lon,timestamp
1935,17048761,SEXUAL ASSAULT MISD.,SEX CRIME,5,"200 UNIVERSITY AVE
Berkeley, CA
(37.865491, -122.310065)",200 UNIVERSITY AVE,Berkeley,CA,Friday,37.865491,-122.310065,18/08/2017 23:45
1936,17035172,BURGLARY AUTO,BURGLARY - VEHICLE,0,"2400 DWIGHT WAY
Berkeley, CA
(37.864826, -122.260719)",2400 DWIGHT WAY,Berkeley,CA,Sunday,37.864826,-122.260719,18/06/2017 21:15
1937,17091194,BURGLARY AUTO,BURGLARY - VEHICLE,3,"600 SAN LUIS RD
Berkeley, CA
(37.899812, -122.275273)",600 SAN LUIS RD,Berkeley,CA,Wednesday,37.899812,-122.275273,21/06/2017 22:00
1938,17090578,BURGLARY AUTO,BURGLARY - VEHICLE,6,"2800 REGENT ST
Berkeley, CA
(37.859589, -122.257019)",2800 REGENT ST,Berkeley,CA,Saturday,37.859589,-122.257019,18/03/2017 23:25
1939,17026000,VANDALISM,VANDALISM,0,"1200 HEARST AVE
Berkeley, CA
(37.870911, -122.289684)",1200 HEARST AVE,Berkeley,CA,Sunday,37.870911,-122.289684,7/5/2017 23:00
1940,17090571,VANDALISM,VANDALISM,5,"2600 BENVENUE AVE
Berkeley, CA
(37.863522, -122.254992)",2600 BENVENUE AVE,Berkeley,CA,Friday,37.863522,-122.254992,17/03/2017 23:45
1941,17036964,ASSAULT/BATTERY FEL.,ASSAULT,1,"1300 BURNETT ST
Berkeley, CA
(37.853603, -122.283961)",1300 BURNETT ST,Berkeley,CA,Monday,37.853603,-122.283961,26/06/2017 21:24
1942,17046391,THEFT MISD. (UNDER $950),LARCENY,2,"2000 OREGON ST
Berkeley, CA
(37.857409, -122.268473)",2000 OREGON ST,Berkeley,CA,Tuesday,37.857409,-122.268473,8/8/2017 14:40
1943,17034171,MISSING ADULT,MISSING PERSON,0,"1000 UNIVERSITY AVE
Berkeley, CA
(37.868641, -122.29415)",1000 UNIVERSITY AVE,Berkeley,CA,Sunday,37.868641,-122.29415,11/6/2017 12:00
1944,17044923,BURGLARY AUTO,BURGLARY - VEHICLE,2,"1600 SAN PABLO AVE
Berkeley, CA
(37.875189, -122.294176)",1600 SAN PABLO AVE,Berkeley,CA,Tuesday,37.875189,-122.294176,1/8/2017 10:30
1945,17013839,BURGLARY AUTO,BURGLARY - VEHICLE,0,"200 MARINA BLVD
Berkeley, CA
(37.868667, -122.313656)",200 MARINA BLVD,Berkeley,CA,Sunday,37.868667,-122.313656,12/3/2017 12:15
1946,17091547,BURGLARY AUTO,BURGLARY - VEHICLE,0,"OXFORD STREET &amp; ALLSTON WAY
Berkeley, CA
(37.869652, -122.265882)",OXFORD STREET & ALLSTON WAY,Berkeley,CA,Sunday,37.869652,-122.265882,6/8/2017 17:30
1947,17037287,VANDALISM,VANDALISM,2,"2300 SACRAMENTO ST
Berkeley, CA
(37.865816, -122.281601)",2300 SACRAMENTO ST,Berkeley,CA,Tuesday,37.865816,-122.281601,27/06/2017 22:00
1948,17090593,THEFT MISD. (UNDER $950),LARCENY,1,"1600 BUENA AVE
Berkeley, CA
(37.878489, -122.280523)",1600 BUENA AVE,Berkeley,CA,Monday,37.878489,-122.280523,20/03/2017 11:05
1949,17039981,BURGLARY AUTO,BURGLARY - VEHICLE,0,"1400 OLYMPUS AVE
Berkeley, CA
(37.883202, -122.251978)",1400 OLYMPUS AVE,Berkeley,CA,Sunday,37.883202,-122.251978,9/7/2017 19:00
1950,17026402,BURGLARY RESIDENTIAL,BURGLARY - RESIDENTIAL,3,"900 CEDAR ST
Berkeley, CA
(37.87436, -122.298387)",900 CEDAR ST,Berkeley,CA,Wednesday,37.87436,-122.298387,10/5/2017 6:30
